Number of simulations = 100
Using Em matrix, i.e. MJ w/ diag = <E>
T = 25 K

(1, 0.9105420912638686 ) +- (0, 5.010238048062867e-16 )
(2, 1.6473861432228343 ) +- (0, 0.20500918837544188 )
(3, 3.4378220810582767 ) +- (0, 0.8029748729097413 )
(4, 0.2768994170699902 ) +- (0, 0.9046316916675087 )
(5, 4.096094387130181 ) +- (0, 1.2951012562286461 )
(6, 8.256632469119502 ) +- (0, 2.882061164575189 )
(7, 90.27668426871777 ) +- (0, 14.338107788105988 )
(8, 0.6308102588087547 ) +- (0, 2.340911132027119 )
(9, 12.206230300525455 ) +- (0, 6.768253049271225 )
(10, 9.163603629291305 ) +- (0, 3.5405585784456566 )
(11, -0.6538735636098377 ) +- (0, 5.903109172404022 )
(12, 20.001810424592755 ) +- (0, 8.52134387580528 )
(13, 3.0360339979525204 ) +- (0, 10.700062264281334 )
(14, 40.62887325948995 ) +- (0, 33.990106864134496 )
(15, 554.6110406702785 ) +- (0, 161.86408169882975 )
(16, 256.7824313070374 ) +- (0, 72.58542449107199 )
(17, 657.0764308188204 ) +- (0, 222.32753788585845 )
(18, 108.28813470869129 ) +- (0, 217.5164699973736 )
