Number of simulations = 100
Ec w/ diag = <E>
Emin = 0 Emax = 0
T = 25 K

(1, 0.8254322987920543 ) += (0, 0.2299577687849363 )
(2, 1.206393880316776 ) += (0, 0.9683574067762128 )
(3, 2.347137773415661 ) += (0, 5.225352327171002 )
(4, 0.35188068123030475 ) += (0, 0.6792159545811619 )
(5, 2.7851095043921705 ) += (0, 6.144899050362771 )
(6, 7.32129983519992 ) += (0, 33.700464575763085 )
(7, 81.76481495621996 ) += (0, 434.9949227895958 )
(8, 0.6701429506038596 ) += (0, 1.4287225397464953 )
(9, 10.4671046024205 ) += (0, 47.8389142466578 )
(10, 8.094388632017315 ) += (0, 37.25455134500187 )
(11, -0.9416827562671668 ) += (0, 9.490504055694755 )
(12, 32.2451137879551 ) += (0, 218.92360363693734 )
(13, 3.119009183550675 ) += (0, 11.973320834176318 )
(14, 58.66956006372358 ) += (0, 400.31070792447235 )
(15, 458.62925441189077 ) += (0, 3269.090373051238 )
(16, 2640.791614996317 ) += (0, 21687.990909479602 )
(17, 2333.000102772232 ) += (0, 19202.974143801133 )
(18, 716.65) += (0, 4491.15)
